,LineId,Date,Timestamp,EventCode,MessageType,Action,Delim,Content,EventId,EventTemplate,Key_0,Val_0,Key_1,Val_1,Key_2,Val_2,Key_3,Val_3
368,369,2019-08-23,22:45:46.106,9,INFO,armada.handlers.chartbuilder,[-],[chart=ucp-deckhand]: Building dependency chart deckhand-htk for release ucp-deckhand.[00m,df5752f2,<*> Building dependency chart <*> for release <*>,Not Present,chart=ucp-deckhand, Building dependency chart ,deckhand-htk, for release ,ucp-deckhand.,Not Present,None
369,370,2019-08-23,22:45:46.135,9,INFO,armada.handlers.chart_deploy,[-],"[chart=ucp-deckhand]: Installing release airship-ucp-deckhand in namespace ucp, wait=True, timeout=600s[00m",f33ff38c,<*> Installing release <*> in namespace <*> wait True timeout <*>,Not Present,chart=ucp-deckhand, Installing release ,airship-ucp-deckhand, in namespace ,"ucp,", wait True timeout ,600s
370,371,2019-08-23,22:45:46.142,9,INFO,armada.handlers.tiller,[-],"[chart=ucp-deckhand]: Helm install release: wait=True, timeout=600[00m",25462a05,<*> Helm install release wait <*> timeout <*>,Not Present,chart=ucp-deckhand, Helm install release wait ,"True,", timeout ,600,Not Present,None
371,372,2019-08-23,22:45:46.143,9,INFO,armada.handlers.chart_deploy,[-],"[chart=ucp-barbican]: Installing release airship-ucp-barbican in namespace ucp, wait=True, timeout=300s[00m",f33ff38c,<*> Installing release <*> in namespace <*> wait True timeout <*>,Not Present,chart=ucp-barbican, Installing release ,airship-ucp-barbican, in namespace ,"ucp,", wait True timeout ,300s
372,373,2019-08-23,22:45:46.154,9,INFO,armada.handlers.tiller,[-],"[chart=ucp-barbican]: Helm install release: wait=True, timeout=300[00m",25462a05,<*> Helm install release wait <*> timeout <*>,Not Present,chart=ucp-barbican, Helm install release wait ,"True,", timeout ,300,Not Present,None
373,374,2019-08-23,22:46:44.002,9,INFO,armada.handlers.chart_deploy,[-],"[chart=ucp-barbican]: Install completed with results from Tiller: {'namespace': 'ucp', 'release': 'airship-ucp-barbican', 'description': 'Install complete', 'version': 1, 'status': 'DEPLOYED'}[00m",fcf3f0a6,<*> Install completed with results from Tiller {'namespace' <*> 'release' <*> 'description' 'Install complete' 'version' 1 'status' 'DEPLOYED'}[00m,Not Present,chart=ucp-barbican, Install completed with results from Tiller {'namespace' ,"'ucp',", 'release' ,"'airship-ucp-barbican',", 'description' 'Install complete' 'version' 1 'status' 'DEPLOYED'},None
374,375,2019-08-23,22:46:44.002,9,INFO,armada.handlers.wait,[-],"[chart=ucp-barbican]: Waiting for resource type=job, namespace=ucp labels=release_group=airship-ucp-barbican required=False for 242s[00m",8d85a441,<*> Waiting for resource type job namespace <*> labels release_group <*> required False for <*>,Not Present,chart=ucp-barbican, Waiting for resource type job namespace ,ucp, labels release_group ,airship-ucp-barbican, required False for ,242s
375,376,2019-08-23,22:46:44.014,9,INFO,armada.handlers.wait,[-],"[chart=ucp-barbican]: Waiting for resource type=pod, namespace=ucp labels=release_group=airship-ucp-barbican required=True for 242s[00m",4984b27b,<*> Waiting for resource type pod namespace <*> labels release_group <*> required True for <*>,Not Present,chart=ucp-barbican, Waiting for resource type pod namespace ,ucp, labels release_group ,airship-ucp-barbican, required True for ,242s
376,377,2019-08-23,22:46:47.756,9,INFO,armada.handlers.test,[-],[chart=ucp-barbican]: RUNNING: airship-ucp-barbican tests with timeout=300s[00m,099b2701,<*> RUNNING <*> tests with timeout 300s[00m,Not Present,chart=ucp-barbican, RUNNING ,airship-ucp-barbican, tests with timeout 300s,None,NotPresent,None
377,378,2019-08-23,22:46:47.784,9,INFO,armada.handlers.tiller,[-],"[chart=ucp-barbican]: Running Helm test: release=airship-ucp-barbican, timeout=300[00m",f26d9761,<*> Running Helm test release <*> timeout 300[00m,Not Present,chart=ucp-barbican, Running Helm test release ,"airship-ucp-barbican,", timeout 300,None,NotPresent,None
