LineId,Date,Timestamp,EventCode,MessageType,Content,EventId,EventTemplate,ParameterList
130,2019-08-23,22:25:11.516,9,INFO,"armada.handlers.wait [-] [chart=kubernetes-scheduler]: Waiting for resource type=job, namespace=kube-system labels=release_group=airship-kubernetes-scheduler required=False for 582s[00m",29249cd8,armada.handlers.wait <*> <*> Waiting for resource type <*> namespace <*> labels release_group <*> required <*> for <*>,"['[-] [chart=kubernetes-scheduler]:', 'job,', 'kube-system', 'airship-kubernetes-scheduler', 'False', '582s\x1b[00m']"
131,2019-08-23,22:25:11.519,9,INFO,"armada.handlers.wait [-] [chart=kubernetes-scheduler]: Waiting for resource type=pod, namespace=kube-system labels=release_group=airship-kubernetes-scheduler required=True for 582s[00m",29249cd8,armada.handlers.wait <*> <*> Waiting for resource type <*> namespace <*> labels release_group <*> required <*> for <*>,"['[-] [chart=kubernetes-scheduler]:', 'pod,', 'kube-system', 'airship-kubernetes-scheduler', 'True', '582s\x1b[00m']"
132,2019-08-23,22:25:16.022,9,INFO,"armada.handlers.chart_deploy [-] [chart=kubernetes-apiserver]: Install completed with results from Tiller: {'namespace': 'kube-system', 'release': 'airship-kubernetes-apiserver', 'description': 'Install complete', 'version': 1, 'status': 'DEPLOYED'}[00m",68d3ee89,armada.handlers.chart_deploy <*> <*> Install completed with results from Tiller {'namespace' <*> 'release' <*> 'description' 'Install complete' 'version' 1 'status' 'DEPLOYED'}[00m,"['[-] [chart=kubernetes-apiserver]:', ""'kube-system',"", ""'airship-kubernetes-apiserver',""]"
133,2019-08-23,22:25:16.023,9,INFO,"armada.handlers.wait [-] [chart=kubernetes-apiserver]: Waiting for resource type=job, namespace=kube-system labels=release_group=airship-kubernetes-apiserver required=False for 577s[00m",29249cd8,armada.handlers.wait <*> <*> Waiting for resource type <*> namespace <*> labels release_group <*> required <*> for <*>,"['[-] [chart=kubernetes-apiserver]:', 'job,', 'kube-system', 'airship-kubernetes-apiserver', 'False', '577s\x1b[00m']"
134,2019-08-23,22:25:21.647,9,INFO,"armada.handlers.chart_deploy [-] [chart=kubernetes-controller-manager]: Install completed with results from Tiller: {'namespace': 'kube-system', 'release': 'airship-kubernetes-controller-manager', 'description': 'Install complete', 'version': 1, 'status': 'DEPLOYED'}[00m",68d3ee89,armada.handlers.chart_deploy <*> <*> Install completed with results from Tiller {'namespace' <*> 'release' <*> 'description' 'Install complete' 'version' 1 'status' 'DEPLOYED'}[00m,"['[-] [chart=kubernetes-controller-manager]:', ""'kube-system',"", ""'airship-kubernetes-controller-manager',""]"
135,2019-08-23,22:25:21.648,9,INFO,"armada.handlers.wait [-] [chart=kubernetes-controller-manager]: Waiting for resource type=job, namespace=kube-system labels=release_group=airship-kubernetes-controller-manager required=False for 572s[00m",29249cd8,armada.handlers.wait <*> <*> Waiting for resource type <*> namespace <*> labels release_group <*> required <*> for <*>,"['[-] [chart=kubernetes-controller-manager]:', 'job,', 'kube-system', 'airship-kubernetes-controller-manager', 'False', '572s\x1b[00m']"
136,2019-08-23,22:25:21.657,9,INFO,"armada.handlers.wait [-] [chart=kubernetes-controller-manager]: Waiting for resource type=pod, namespace=kube-system labels=release_group=airship-kubernetes-controller-manager required=True for 572s[00m",29249cd8,armada.handlers.wait <*> <*> Waiting for resource type <*> namespace <*> labels release_group <*> required <*> for <*>,"['[-] [chart=kubernetes-controller-manager]:', 'pod,', 'kube-system', 'airship-kubernetes-controller-manager', 'True', '572s\x1b[00m']"
137,2019-08-23,22:25:22.430,9,INFO,armada.handlers.test [-] [chart=kubernetes-scheduler]: RUNNING: airship-kubernetes-scheduler tests with timeout=300s[00m,fb8fd46c,armada.handlers.test <*> <*> RUNNING <*> tests with timeout 300s[00m,"['[-] [chart=kubernetes-scheduler]:', 'airship-kubernetes-scheduler']"
138,2019-08-23,22:25:22.436,9,INFO,"armada.handlers.tiller [-] [chart=kubernetes-scheduler]: Running Helm test: release=airship-kubernetes-scheduler, timeout=300[00m",33125623,armada.handlers.tiller <*> <*> Running Helm test release <*> timeout 300[00m,"['[-] [chart=kubernetes-scheduler]:', 'airship-kubernetes-scheduler,']"
139,2019-08-23,22:25:22.445,9,INFO,armada.handlers.tiller [-] [chart=kubernetes-scheduler]: No Tests Found[00m,5953396f,armada.handlers.tiller <*> <*> No Tests Found[00m,['[-] [chart=kubernetes-scheduler]:']
140,2019-08-23,22:25:22.488,9,INFO,armada.handlers.test [-] [chart=kubernetes-scheduler]: PASSED: airship-kubernetes-scheduler[00m,4ab8023c,armada.handlers.test <*> <*> PASSED <*>,"['[-] [chart=kubernetes-scheduler]:', 'airship-kubernetes-scheduler\x1b[00m']"
141,2019-08-23,22:25:27.796,9,INFO,armada.handlers.test [-] [chart=kubernetes-controller-manager]: RUNNING: airship-kubernetes-controller-manager tests with timeout=300s[00m,fb8fd46c,armada.handlers.test <*> <*> RUNNING <*> tests with timeout 300s[00m,"['[-] [chart=kubernetes-controller-manager]:', 'airship-kubernetes-controller-manager']"
142,2019-08-23,22:25:27.803,9,INFO,"armada.handlers.tiller [-] [chart=kubernetes-controller-manager]: Running Helm test: release=airship-kubernetes-controller-manager, timeout=300[00m",33125623,armada.handlers.tiller <*> <*> Running Helm test release <*> timeout 300[00m,"['[-] [chart=kubernetes-controller-manager]:', 'airship-kubernetes-controller-manager,']"
143,2019-08-23,22:25:27.811,9,INFO,armada.handlers.tiller [-] [chart=kubernetes-controller-manager]: No Tests Found[00m,5953396f,armada.handlers.tiller <*> <*> No Tests Found[00m,['[-] [chart=kubernetes-controller-manager]:']
144,2019-08-23,22:25:27.859,9,INFO,armada.handlers.test [-] [chart=kubernetes-controller-manager]: PASSED: airship-kubernetes-controller-manager[00m,4ab8023c,armada.handlers.test <*> <*> PASSED <*>,"['[-] [chart=kubernetes-controller-manager]:', 'airship-kubernetes-controller-manager\x1b[00m']"
145,2019-08-23,22:26:16.948,9,INFO,"armada.handlers.wait [-] [chart=kubernetes-apiserver]: Waiting for resource type=pod, namespace=kube-system labels=release_group=airship-kubernetes-apiserver required=True for 516s[00m",29249cd8,armada.handlers.wait <*> <*> Waiting for resource type <*> namespace <*> labels release_group <*> required <*> for <*>,"['[-] [chart=kubernetes-apiserver]:', 'pod,', 'kube-system', 'airship-kubernetes-apiserver', 'True', '516s\x1b[00m']"
146,2019-08-23,22:26:16.956,9,INFO,armada.handlers.test [-] [chart=kubernetes-apiserver]: RUNNING: airship-kubernetes-apiserver tests with timeout=300s[00m,fb8fd46c,armada.handlers.test <*> <*> RUNNING <*> tests with timeout 300s[00m,"['[-] [chart=kubernetes-apiserver]:', 'airship-kubernetes-apiserver']"
147,2019-08-23,22:26:16.963,9,INFO,"armada.handlers.tiller [-] [chart=kubernetes-apiserver]: Running Helm test: release=airship-kubernetes-apiserver, timeout=300[00m",33125623,armada.handlers.tiller <*> <*> Running Helm test release <*> timeout 300[00m,"['[-] [chart=kubernetes-apiserver]:', 'airship-kubernetes-apiserver,']"
148,2019-08-23,22:26:16.971,9,INFO,armada.handlers.tiller [-] [chart=kubernetes-apiserver]: No Tests Found[00m,5953396f,armada.handlers.tiller <*> <*> No Tests Found[00m,['[-] [chart=kubernetes-apiserver]:']
