,Template
10,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
11,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
12,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
13,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
14,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
15,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
16,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
17,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
18,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
19,armada.handlers.lock <*> <*> lock[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.lock <*> Lock Custom Resource Definition not found creating now[00m_armada.handlers.armada <*> Performing <*> operations.[00m_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Cloning repo https <*> from branch <*>_armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>_armada.handlers.chart_deploy <*> <*> Processing Chart release <*>_armada.handlers.chart_deploy <*> <*> known <*> release_name airship-podsecuritypolicy[00m_armada.handlers.wait <*> <*> No Chart timeout specified using default 900s[00m_armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>_armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>_armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>
